idea title,idea description,skills,difficulty,duration,organization,ideas_link,logo,duration_length
OpenVINO Conditional Compilation improvement,"OpenVINO adopts conditional compilation to optimize package binaries size, which has achieved considerable binarie size reduction. But conditional compilation has a limitation - it is device dependent, that to say the conditional compilation packages generated in one CPU platform cannot always run on another different CPU platform. We encourage talents to research a solution to support device agnostic condition compilation (permit slight binaries size increase), which can support the conditional compilation packages generated in one CPU platform and can run on other Intel CPU platforms.",['C++'],Medium,175 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,9
OpenVINO adapters - PyTorch adapter,"OpenVINO adapters' goal is to provide a lightweight layer of Python code that enables easy switching between already used framework (PyTorch) and OpenVINO - targeting inference purposes. The goal is to showcase the potential performance benefits of using OV. The change on the user side should look like import torch --> import openvino_adapters.torch and ... that's it! (maybe some minor changes like excluding cuda() calls:)) The project includes the whole development cycle: creating POC, productization of the solution, adding tests, making an installable package, and creating documentation.","['Python', ' PyTorch knowledge']",Medium to hard,175 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,9
Improve Generative AI workload performance on ARM devices with OpenVINO,"The goal of this project is to implement set of optimizations inside OpenVINO runtime which target GenAI models (e.g. text-generation, diffusers). Optimizations should include improvements in terms of latency/throughput metrics, faster model compilation time and lower memory consumption.","['Mac device with M1/M2/M3 chip is a must', ' C++']",Medium,350 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,9
NNCF Quantization Analytics Tool,"Quantization, a widely adopted technique for reducing model size and accelerating model inference, often leads to a slight decrease in accuracy compared to the original floating-point model. However, in some cases, quantization can introduce significant performance degradation. Identifying the root cause of these accuracy drops can be a difficult task, and often even more challenging than fixing it. In this project, we will develop an analytic tool for analyzing quantization errors in the quantized models using NNCF. We will provide a user-friendly interface for inspecting quantization errors, calculating statistics and metrics such as MSE, and SQNR to identify the layers with the most significant errors, and visualizing them together with the model in Netron. We will also create a tutorial with recommendations for optimizing the quantization process to improve model accuracy based on collected analytics.","['DL basics', ' understanding of ML model optimization', ' Python programming']",Medium,350 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,9
Accelerating PyTorch Lightning and ComfyUI with torch.compile OpenVINO,"The goal of this project to accelerate pytorch-based frameworks like PyTorch Lightning and ComfyUI by leveraging torch.compile OpenVINO backend. PyTorch Lightning provides a structured and modular framework for developing deep learning models, particularly tailored for tasks such as image classification, natural language processing, and reinforcement learning. ComfyUI is a popular stable diffusion WebUI framework for image generation workflows. In this project, you will create optimized PyTorch Lightning Modules and ComfyUI Stable diffusion models by utilizing torch.compile OpenVINO backend for inference. Optimized models should demonstrate performance improvements on Intel CPUs and GPUs over native PyTorch execution.","['Python', ' C++', ' PyTorch. Good to have: OpenVINO', ' PyTorch Lightning', ' Stable Diffusion', ' torch.compile feature']",Medium to hard,350 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,9
PyTorch Model Optimizations with torch.compile OpenVINO Backend,"The goal of this project is to enhance the compatibility and performance of popular deep learning models with the OpenVINO backend in torch.compile. Specifically, the focus will be on enabling four diverse models: Omni3D, AudioCraft, LLaVA and Code Llama. The project involves identifying and handling unsupported operations within these models, implementing necessary operations, and ensuring accuracy, all while optimizing performance through thorough testing and benchmarking. A contributing guide is available to facilitate collaboration.","['Python', ' C++', ' PyTorch. Good to have: OpenVINO', ' torch.compile feature']",Medium to hard,350 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,9
Prototype for JAX/Flax Models Support (or Mindspore),"Flax/JAX is a new solution for training models, that provides much faster training than TensorFlow and PyTorch. So we should expect increase in amount of Flax/Jax models. However, OpenVINO currently supports PyTorch, TensorFlow, ONNX, PDPD models but it lacks of native support for JAX models. Not all JAX models can be exported to TensorFlow SavedModel format. So there exists of a problem for native and direct support for JAX models without intermediate format usage. The implemented functionality should include logic for parsing traced JAX objects, translators for conversion basic JAX operations into OpenVINO opset decompositions. The functionality should be relied and inherit common FE API so that it will be possible to convert JAX models using ovc.convert_model. The feature should be extendable in the future by others (OV team and open-source community) to support new JAX operations and models. The goal is to implement a prototype with basic functionality to support fundamental models (ResNet, BERT) trained with JAX. As alternative choice, you can consider of adding support for Mindspore framework (https://github.com/mindspore-ai/mindspore) and its MIDIR format support.","['Python', ' C++', ' JAX', ' Flax. Good to have: Mindspore']",Medium to hard,350 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,9
A general OpenVINO performance benchmarking suite for Vision-LLM models,The goal of this project is to provide a unified suite for OpenVINO Vision-Language model performance benchmarking for both uni-modal and joint-modal tasks. The benchmarking suite should include the following functions: Be able to load and convert the specific models from Huggingface: both PyTorch and OpenVINO IR models should be supported and probably compressed model as well (INT8). Provide an accuracy checker for the model accuracy check. Performance benchmarking scripts that work for unimodal/joint-modal tasks.,"['C/C++', ' Python', ' Good understanding of transformer models and vision-LLM models', ' Experience working with Huggingface LLM models']",Hard,175 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,9
Add time-series anomaly detection support to Anomalib,"Anomalib currently only contains visual anomaly detection algorithms that operate in the image- and video domain. However, the principles of anomaly detection can be applied to other domains, such as audio, as well. The goal of this project is to add support for anomaly detection in 1D (time-series) data, such as audio signals. The following components would need to be added/modified to achieve time-series anomaly detection support: Pytorch-Lightning compatible dataset adapters for reading 1D-data. At least 1 fully functional time-series anomaly detection model. Metrics and visualization utilities for qualitative and quantitative evaluation of the model’s performance.","['Basic ML knowledge', ' Signal processing basics', ' Python']",Medium to hard,350 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,9
AnomalyGPT: Integrating Vision Language Models (VLMs) in Anomalib for zero- and few-shot anomaly detection,"The goal of this project is to integrate the capabilities of Visual Language Models (VLMs) within the anomalib framework. Anomalib is a deep learning library designed for anomaly detection research. VLMs could be used for anomaly detection purposes by prompting the VLM to determine if an image contains an anomaly or not. An advantage of this approach over classical anomaly detection techniques is that a VLM can explain its decision in natural language, which benefits the interpretability of the predictions. The first part of the project consists of creating a coupling between Anomalib and OpenAI’s ChatGPT API. The student will use the ChatGPT UI to create a custom GPT that is instructed to detect anomalies in images using ChatGPT’s internal VLM. On the Anomalib side, the student will create a model wrapper that interacts with the GPT through API calls so that the GPT’s predictions can be used within the Anomalib framework. Design choices will need to be made around parsing the responses of the GPT and presenting the predictions to the user. The student will conduct a series of experiments to investigate how the performance of the GPT compares to other Anomalib models on structural and logical anomaly detection datasets such as MVTec AD and MVTec LOCO. Optional extensions of the project include replacing the ChatGPT model with a locally deployed open-source VLM such as LLaVa, and implementing a simple UI that allows a discourse-style interaction with the model.","['Proficient in Python', ' Familiar with deep learning frameworks like PyTorch Lightning', ' Understanding of anomaly detection principles', ' Experience with anomalib']",Medium to hard,350 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,9
Synthetic Anomaly Generation for Threshold Selection and Model Evaluation in Anomalib,"Anomalib is a Python library designed to facilitate visual anomaly detection research, where the task is to identify anomalous, or abnormal images in a dataset. While Anomalib’s models only need normal images during training, some examples of anomalous images are still needed in the validation and testing stages for threshold selection and model evaluation. In real-world use-cases however, anomalous samples may not be available at training time, preventing accurate computation of these metrics. The purpose of this project is to create a synthetic anomaly generation module within Anomalib that will allow researchers to generate a wide variety of synthetic anomalies for the purpose of selecting appropriate thresholds and evaluating anomaly detection models. The project will involve the development of algorithms that can introduce anomalies into normal datasets in a controllable and scalable manner. These synthetic anomalies may range from simple, like noise injection, to complex, like generating contextually out-of-place objects using advanced generative models such as diffusion models.","['Proficiency in Python', ' Experience with deep learning libraries such as PyTorch Lightning', ' Understanding of machine/deep learning', ' Basic understanding of generative models', ' Understanding of anomaly detection principles', ' Experience with anomalib']",Hard,350 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,9
Extending OpenVINO's llama.cpp community plugin for configurable GGML inferencing backend,"We are currently preparing a community plugin for OpenVINO inference that would take specially prepared IR models known to correspond to llama.cpp-supported architectures, parse them for weights and other GGML-required parameters and defer actual inference to the llama.cpp/GGML executors. The initial version of the plugin will only be limited to standard GGML inference without HW-specific acceleration. Since in its current state the llama.cpp/GGML executors already support HW-accelerated inference as well (via CUDA, and more recently, SYCL), the natural extension of this approach would be to make the community plugin accept options pertaining to the actual GGML backend selection. In this fashion a user flow would be enabled that would allow the developers to execute certain IR-format models with llama.cpp/GGML instead of regular OpenVINO plugins, while still using the familiar OpenVINO APIs such as ov::Model and ov::InferRequest, since the dispatching of the loads to the llama.cpp/GGML would be abstracted under the OpenVINO plugin system and the implementation of the future plugin.","['C/C++', ' GTest', ' OpenVINO API', ' Github Actions']",Medium,175 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,9
Benchmarking PyTorch Performance with TorchBench on EC2 Instances,"The goal of this project is to evaluate and compare the performance of PyTorch's torch.compile OpenVINO backend against the Stock PyTorch using TorchBench, a collection of open-source benchmarks for evaluating PyTorch performance. The benchmarking will be performed on various EC2 CPU instances using an automated manner, leveraging either the EC2 API or Amazon Sagemaker. The benchmarking script/methodology should be reproducible, allowing the community to reproduce and customize.","['Python', ' PyTorch', ' OpenVINO', ' Docker', ' EC2 API or Amazon SageMaker']",Medium,350 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,9
OpenVINO Messenger AI-Assistant for an AI PC,"People use messengers daily not just for communication, but also for reading news and gathering information on a variety of topics by subscribing to channels. For any popular messenger implement a Desktop AI-Assistant for AI PC, which can read messages from a specified time interval and use Retrieval-augmented Generation (RAG) to enhance the local Language Model (LLM) with this private data, providing useful information such as a daily digest. Users should be able to interact with the OpenVINO Messenger AI Assistant to ask questions related to any discussions extracted from the messenger.","['Python or C++', ' LLMs', ' RAG', ' UI/Qt']",Medium,350 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,9
Eyes health utilizing OpenVINO and Neural Processing Unit (NPU) on an AI PC,"Many people spend a significant portion of their lives sitting in front of a PC, which can lead to eye fatigue. However, using a webcam it is possible to monitor and manage the amount of time a user spends in front of a computer screen. Implement application uses a webcam to detect the user's gaze, thereby determining the duration of screen time. If the user exceeds a certain limit, the application sends an alert suggesting a break. This feature helps to prevent excessive screen time and promotes healthier computer usage habits. The application also includes a user interface that allows users to set intervals for microbreaks. In addition, the application provides reports on the amount of time spent looking at the display. To optimize energy efficiency and performance, the application is to be designed to utilize the Neural Processing Unit (NPU) on an AI PC. This ensures that the application runs smoothly and efficiently, minimizing its impact on the computer's overall performance.","['Python', ' Deep Learning', ' Computer Vision']",Medium,175 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,9
FFIgenpad,"A web interface in which you paste a C header in a textbox on the left, and it outputs dart: ffi bindings generated by package: ffigen in a textbox on the right. In order to avoid needing a server to do the backend, we'd like to compile the Dart code in package: ffigen and libclang to WASM. That way everything can run in the browser.","['C', ' WASM', ' Web development', ' Dart']",Hard,Large (350 hours),Dart,https://github.com/dart-lang/sdk/wiki/Dart-GSoC-2024-Project-Ideas,https://summerofcode.withgoogle.com/media/org/dart/hsghljw4m6popf0x-360.png,17
Swift/ObjC compatibility tool,"package: ffigen allows Dart to interact with ObjC. Swift modules can be invoked from ObjC (and Dart through ffi), but only if the classes and methods have been annotated with @objc. This project aims to create a tool that can automatically generate ObjC compatibility wrappers for Swift modules.",['Swift'],Hard,Large (350 hours),Dart,https://github.com/dart-lang/sdk/wiki/Dart-GSoC-2024-Project-Ideas,https://summerofcode.withgoogle.com/media/org/dart/hsghljw4m6popf0x-360.png,17
JNIgen transformations,"Add the ability to rename, exclude, convert to operators, add members, and generally transform the classes and methods using the visitor pattern in JNIgen.","['Dart', ' Java']",Hard,Large (350 hours),Dart,https://github.com/dart-lang/sdk/wiki/Dart-GSoC-2024-Project-Ideas,https://summerofcode.withgoogle.com/media/org/dart/hsghljw4m6popf0x-360.png,17
Integrate OkHttp with Dart,Write a flutter plugin that wraps the OkHttp package using package: jnigen and implements the package: http Client interface. This project involves creating JNI bindings for the necessary APIs and implementing the Client interface.,"['Dart', ' Java', ' Android']",Hard,Large (350 hours),Dart,https://github.com/dart-lang/sdk/wiki/Dart-GSoC-2024-Project-Ideas,https://summerofcode.withgoogle.com/media/org/dart/hsghljw4m6popf0x-360.png,17
Exception testing for package: webcrypto,Enhance the testing framework for package: webcrypto to test exceptions thrown by various methods. This project involves creating a framework for testing exceptions and improving test coverage across different platforms.,"['Dart', ' FFI', ' JS']",Hard,Large (350 hours),Dart,https://github.com/dart-lang/sdk/wiki/Dart-GSoC-2024-Project-Ideas,https://summerofcode.withgoogle.com/media/org/dart/hsghljw4m6popf0x-360.png,17
Testing documentation comments,Develop tools for testing code samples embedded in documentation comments in Dart code. This project involves using static analysis tools to extract and test code samples in documentation comments.,"['Dart', ' static analysis']",Hard,Large (350 hours),Dart,https://github.com/dart-lang/sdk/wiki/Dart-GSoC-2024-Project-Ideas,https://summerofcode.withgoogle.com/media/org/dart/hsghljw4m6popf0x-360.png,17
Playground and Getting Started Experience,"Make major improvements to the existing Accord Project Playground to provide a best-in-class web experience to learn and experiment with Accord Project technology. This work should take design and implementation inspiration from similar efforts for other leading programming languages, such as TypeScript and its use of TwoSlash for runnable code examples. The project should also consider how the existing Accord Project documentation, as well as the Concerto documentation is integrated into an overall learning pathway and tutorial experience.","['TypeScript', ' React', ' Information Design/Architecture']",Medium,350 hours,Accord Project,https://github.com/accordproject/techdocs/wiki/Google-Summer-of-Code-2024-Ideas-List,https://summerofcode.withgoogle.com/media/org/accord-project/1q3vpch01xpsriu9-360.png,9
Model Creation AI Assistant (Co-Pilot),"Assist users creating Concerto models using an in-context AI assistant (co-pilot). Design a user experience and support multiple foundational AI models, for example: OpenAI, Bard, Anthropic etc. Develop the required LLM prompts and measure their effectiveness. Ensure users understand the data they are sharing and opt-in to AI assistance. Review similar efforts from across the industry, e.g. GitHub, Repl.it, Google, and others.","['TypeScript', ' Basic Knowledge of ChatGPT', ' or similar']",Medium,175 hours,Accord Project,https://github.com/accordproject/techdocs/wiki/Google-Summer-of-Code-2024-Ideas-List,https://summerofcode.withgoogle.com/media/org/accord-project/1q3vpch01xpsriu9-360.png,9
Import Aliasing,"Concerto language supports reusing of terms defined in other model definition files through imports. We can import a single or multiple terms. However, imported or defined, a term can only exist once in a model file. If we can alias an import then we can free ourselves from this limitation, in case we either already have a term with the same name in the model file or we want to use two terms that share the same name that are imported.","['Familiarity with Parser Expression Grammars', ' Code Generation', ' JavaScript']",Medium,175 hours,Accord Project,https://github.com/accordproject/techdocs/wiki/Google-Summer-of-Code-2024-Ideas-List,https://summerofcode.withgoogle.com/media/org/accord-project/1q3vpch01xpsriu9-360.png,9
Rust Validator for Concerto,"Re-implement the current Concerto Validator in Rust so that it can be consumed from multiple languages (using FFI, WASM, etc.). The reimplementation should replicate the existing behaviour of the current JavaScript validator. This should provide improvements in performance, reliability and portability","['Rust', ' Algorithms', ' Functional programming', ' Back end development', ' Rust API design']",Hard,350 hours,Accord Project,https://github.com/accordproject/techdocs/wiki/Google-Summer-of-Code-2024-Ideas-List,https://summerofcode.withgoogle.com/media/org/accord-project/1q3vpch01xpsriu9-360.png,9
Linter for Concerto,Write a linter in TypeScript for Concerto Source files. It should make use of existing functionality to validate the Concerto DSL syntax and JSON AST of Concerto model against a set of rules. Rules should be defined in Typescript and which rules are run should be configurable.,"['Algorithms', ' Functional programming', ' Back end development', ' NodeJS', ' TypeScript']",Hard,350 hours,Accord Project,https://github.com/accordproject/techdocs/wiki/Google-Summer-of-Code-2024-Ideas-List,https://summerofcode.withgoogle.com/media/org/accord-project/1q3vpch01xpsriu9-360.png,9
Autofix for Spectral Linting Errors : VS Code Extension,Implement an autofix feature for Spectral linting errors in the VS Code extension for AsyncAPI,"['JavaScript', ' VS Code Extension Development', ' Spectral Linting']",Intermediate,2 months,AsyncAPI,https://github.com/asyncapi/community/blob/master/mentorship/summerofcode/2024/asyncapi-gsoc-ideas-page.md,https://summerofcode.withgoogle.com/media/org/asyncapi/gmnlfvngjaqxjxio.png,8
Script Stability Enhancement for AsyncAPI Website,Enhance the script stability for the AsyncAPI website,"['JavaScript', ' Web Development']",Beginner,1 month,AsyncAPI,https://github.com/asyncapi/community/blob/master/mentorship/summerofcode/2024/asyncapi-gsoc-ideas-page.md,https://summerofcode.withgoogle.com/media/org/asyncapi/gmnlfvngjaqxjxio.png,7
Integration Testing Library for Code Generators,Develop an integration testing library for code generators in AsyncAPI,"['JavaScript', ' Testing', ' Code Generation']",Advanced,3 months,AsyncAPI,https://github.com/asyncapi/community/blob/master/mentorship/summerofcode/2024/asyncapi-gsoc-ideas-page.md,https://summerofcode.withgoogle.com/media/org/asyncapi/gmnlfvngjaqxjxio.png,8
Markdown and MermaidJS Diagrams Preview : VS Code Extension,Add support for Markdown and MermaidJS diagrams preview in the VS Code extension,"['JavaScript', ' VS Code Extension Development', ' Markdown', ' MermaidJS']",Intermediate,2 months,AsyncAPI,https://github.com/asyncapi/community/blob/master/mentorship/summerofcode/2024/asyncapi-gsoc-ideas-page.md,https://summerofcode.withgoogle.com/media/org/asyncapi/gmnlfvngjaqxjxio.png,8
AsyncAPI Website UI Kit Development,Work on developing the UI kit for the AsyncAPI website,"['JavaScript', ' UI/UX Design', ' Web Development']",Intermediate,2 months,AsyncAPI,https://github.com/asyncapi/community/blob/master/mentorship/summerofcode/2024/asyncapi-gsoc-ideas-page.md,https://summerofcode.withgoogle.com/media/org/asyncapi/gmnlfvngjaqxjxio.png,8
Dynamic Open Graph Preview for AsyncAPI Studio,Implement a dynamic open graph preview feature for the AsyncAPI Studio,"['JavaScript', ' Web Development']",Advanced,3 months,AsyncAPI,https://github.com/asyncapi/community/blob/master/mentorship/summerofcode/2024/asyncapi-gsoc-ideas-page.md,https://summerofcode.withgoogle.com/media/org/asyncapi/gmnlfvngjaqxjxio.png,8
Real-time Collaboration in AsyncAPI Studio,Integrate real-time collaboration functionality in the AsyncAPI Studio,"['JavaScript', ' Web Development', ' Real-time Communication']",Advanced,3 months,AsyncAPI,https://github.com/asyncapi/community/blob/master/mentorship/summerofcode/2024/asyncapi-gsoc-ideas-page.md,https://summerofcode.withgoogle.com/media/org/asyncapi/gmnlfvngjaqxjxio.png,8
Contact AsyncAPI Mentors,Reach out to and communicate with AsyncAPI mentors for guidance and support,"['Communication', ' Mentoring']",Beginner,1 month,AsyncAPI,https://github.com/asyncapi/community/blob/master/mentorship/summerofcode/2024/asyncapi-gsoc-ideas-page.md,https://summerofcode.withgoogle.com/media/org/asyncapi/gmnlfvngjaqxjxio.png,7
FAQ,Create a FAQ section for the AsyncAPI community,"['Content Creation', ' Community Engagement']",Beginner,1 month,AsyncAPI,https://github.com/asyncapi/community/blob/master/mentorship/summerofcode/2024/asyncapi-gsoc-ideas-page.md,https://summerofcode.withgoogle.com/media/org/asyncapi/gmnlfvngjaqxjxio.png,7
