name,description,tagline,website_url,source_code,ideas_link,contributor_guidance_url,license,logo_url,categories,tech_tags,topic_tags,contact_links,direct_comm_methods,social_comm_methods,ideas_link_type,ideas_link_file,ideas_link_word_count
The JPF team,"The Java Pathfinder (JPF) project was initially conceived and developed at NASA Ames Research Center in 1999. JPF was open sourced in April 2005 as one of the first ongoing NASA development projects to date, and it is now released under the Apache license, 2.0. JPF is an extensible Java virtual machine written in Java itself. It is used to create a variety of verification and debugging tools, ranging from software model checkers to test case generators using symbolic execution. JPF is a research platform and a production tool at the same time. Although JPF has major contributions from companies and government agencies, our main user community is academic - there are ongoing collaborations with more than 20 universities worldwide. The JPF team for GSoC 2024 includes researchers from NASA Ames Research Center, KTH Royal Institute of Technology - Sweden, Carnegie Mellon University, Boise State University, University of Minnesota, Charles University - Czech Republic, and Singapore University of Technology and Design.

JPF is designed to be highly extensible. There are well-defined extension mechanisms, directory structures and build procedures, which keep the core relatively stable and provide suitable, well-separated testbeds for new ideas and alternative implementations. As a consequence, we host a number of such extension projects on our own, public JPF server, together with a Wiki that provides a central location for learning about, obtaining, and contributing to JPF.

JPF has been used for a variety of application domains and research topics such as verification of multi-threaded applications, graphical user interfaces, networking, and distributed applications. In addition to its continued presence in academia, JPF has matured enough to support verification of production code and frameworks such as Android. JPF is constantly being extended with support for verification of new types of correctness properties and for new types of application domains.",JPF is a Java VM used to verify and debug software,https://github.com/javapathfinder/jpf-core/wiki,https://github.com/javapathfinder/jpf-core,https://github.com/javapathfinder/jpf-core/wiki/GSoC-2024-Project-Ideas,https://github.com/javapathfinder/jpf-core/wiki/JPF-Google-Summer-of-Code-2024,Apache-2.0,https://summerofcode.withgoogle.com/media/org/the-jpf-team-hg/rvqtnz4hyojrfgvw.png,"Programming languages, Security","android, java, distributed systems, jvm","model checking, symbolic execution, verification of concurrent systems, program analysis, test input generation","https://groups.google.com/g/java-pathfinder, https://twitter.com/Java_Pathfinder",https://groups.google.com/g/java-pathfinder,https://twitter.com/Java_Pathfinder,Webpage,The JPF team.txt,1661
GNOME Foundation,The GNOME Foundation is a non-profit organization that believes in a world where everyone is empowered by technology they can trust. We do this by building a diverse and sustainable free software personal computing ecosystem.,A diverse and sustainable free software desktop.,https://gnome.org,https://gitlab.gnome.org/,https://gsoc.gnome.org/2024,https://gsoc.gnome.org,GPL-2.0,https://summerofcode.withgoogle.com/media/org/gnome-foundation/aqwqx1x6ozjnxsak-360.png,"Operating systems, Development tools","c, linux, rust, gtk, Flatpak","operating systems, desktop, graphics, open source, apps","https://wiki.gnome.org/GettingInTouch/IRC, https://discourse.gnome.org/, https://twitter.com/gnome, https://foundation.gnome.org/news/","https://wiki.gnome.org/GettingInTouch/IRC, https://discourse.gnome.org/","https://twitter.com/gnome, https://foundation.gnome.org/news/",Webpage,GNOME Foundation.txt,1376
FreeType,"FreeType is a freely available software library to render fonts.

It is written in C, designed to be small, efficient, highly customizable, and portable while capable of producing high-quality output (glyph images) of most vector and bitmap font formats.

Some products that use FreeType for rendering fonts on screen or on paper, either exclusively or partially:

  • GNU/Linux and other free Unix operating system derivates like FreeBSD or     NetBSD;
  • iOS, Apple's mobile operating system for iPhones and iPads;
  • Android, Google's operating system for smartphones and tablet computers;
  • ChromeOS, Google's operating system for laptop computers;
  • ReactOS, a free open source operating system based on the best design     principles found in the Windows NT architecture;
  • Ghostscript, a PostScript interpreter used in many printers.

Counting the above products only, you get more than a *billion* devices that contain FreeType.",FreeType is a software library to render fonts.,https://freetype.org,https://gitlab.freedesktop.org/freetype,https://freetype.org/gsoc.html,https://freetype.org/gsoc.html,GPL-2.0,https://summerofcode.withgoogle.com/media/org/freetype/bbbcwzgimhkwpcvx-360.png,"Programming languages, Media","c, autotools, meson","library, rendering, fonts, opentype, truetype",freetype-devel@nongnu.org,freetype-devel@nongnu.org,,Webpage,FreeType.txt,741
Micro Electronics Research Lab - UITU,"A non-profit organization fostering research on IoT, AI and ML based architectures leveraging the open-source RISC-V ISA. The main purpose of this Lab is to train undergraduate students for future Silicon industry.",Accelerating Engineering Innovation,https://www.merledupk.org,https://github.com/merledu/,https://github.com/merledu/Google-Summer-of-Code/wiki/GSoC%2724-Project-Ideas-List,https://github.com/merledu/Google-Summer-of-Code/wiki/GSoC-Proposal-Template,Apache-2.0,https://summerofcode.withgoogle.com/media/org/micro-electronics-research-lab-uitu/el9byq6f4dfc1y77-360.png,"Other, Infrastructure and cloud","RISCV, Processor, Hardware, systemonchip, memory","iot, embedded, Processor, System on Chip, RISC-V","https://gitter.im/merledu/community, https://twitter.com/merluit",https://gitter.im/merledu/community,https://twitter.com/merluit,Webpage,Micro Electronics Research Lab - UITU.txt,2136
Internet Health Report,"The Internet Health Report monitors the conditions of networks that compose the Internet. It aims to provide network operators, policymakers, and other stakeholders, with a better understanding of the Internet's infrastructure and its evolution.",Monitoring the Internet,https://ihr.iijlab.net,https://github.com/InternetHealthReport,https://github.com/InternetHealthReport/gsoc/blob/main/ideas.md,https://github.com/InternetHealthReport/gsoc/blob/main/contributor-guidance.md,LGPL-3.0,https://summerofcode.withgoogle.com/media/org/internet-health-report/lifcnmh2qkq9cl5o-360.png,"Science and medicine, Data","python, javascript, apache kafka, VueJS","networking, routing, communication, internet, data analytics","admin@ihr.live, https://twitter.com/ihr_alerts",admin@ihr.live,https://twitter.com/ihr_alerts,Webpage,Internet Health Report.txt,1117
LibreCube Initiative,"LibreCube develops an ecosystem of open source space technology for exploration systems. 

Our vision is to enable everyone to get involved in building systems for exploration using open source hardware and software. We believe that discovering new worlds and getting scientific insights should be a matter to all humankind.


LibreCube is based on these three pillars: 


1) Open Source: Everything we do at LibreCube is made available to the public free and open source. Also, we only use free and open source tools for our work – this way, really everyone can get involved!


2) Free and Open Standards: We rely on proven and tested standards for our system designs, with preference for standards from the space domain.


3) Reference Architecture: Defining a generic architecture of system that have standardized interfaces makes it possible to combine and re-use elements for various different mission applications.",Open Source Space Exploration,https://librecube.org,https://gitlab.com/librecube,https://librecube.org/google-summer-of-code-2024/,https://librecube.org/google-summer-of-code-proposal/,MIT,https://summerofcode.withgoogle.com/media/org/librecube-initiative/zkfjswciuihmdxu1-360.png,Science and medicine,"python, rest api, micropython","automation, space, Communication Protocols, Rover","info@librecube.org, https://app.element.io/#/room/#librecube-gsoc:matrix.org, https://fosstodon.org/@librecube","info@librecube.org, https://app.element.io/#/room/#librecube-gsoc:matrix.org",https://fosstodon.org/@librecube,Webpage,LibreCube Initiative.txt,877
JabRef e.V.,"JabRef is one of the most widely used citation and reference management tools. It helps students and researchers to stay on top of their literature by assisting at every step of a research project: collecting and organizing literature sources, discovering the latest research, citing references in LaTeX and other text editors, and sharing interesting papers with collaborators.

JabRef is open-source and cross-platform. It is written in Java using JavaFX as the user interface technology. It is licensed under the MIT license.

Since 2020 JabRef is maintained by the non-profit organization JabRef e.V.",Open Source bibliography manager,https://www.jabref.org/,https://github.com/JabRef/jabref,https://github.com/JabRef/jabref/wiki/GSOC-2024-ideas-list,https://github.com/JabRef/jabref/wiki/GSOC-Application,MIT,https://summerofcode.withgoogle.com/media/org/jabref-ev/ylevworrwqf9bw9g-360.png,"Science and medicine, Artificial Intelligence","java, javafx, ai, bibtex","science, library, literature, latex, bibliography","http://gitter.im/JabRef/jabref, https://discourse.jabref.org/, https://twitter.com/jabref_org","http://gitter.im/JabRef/jabref, https://discourse.jabref.org/",https://twitter.com/jabref_org,Webpage,JabRef e.V..txt,2020
Alaska,"Alaska Project Ideas are mentored by the researchers and collaborators of the University of Alaska and supported by other open-source entities in Alaska, such as Alaska Dev Alliance.

We aim to represent the open-source ecosystem of the 49th state, Alaska. Anchorage, the largest city in Alaska, has a vibrant open-source community. Through this GSoC initiative, industrial experts who are part of the Alaska Developer Alliance and faculty and researchers from the University of Alaska Anchorage (UAA) and the University of Alaska Fairbanks (UAF) join hands to provide a perfect mentoring experience for interested contributors globally. We offer a glimpse of this northern state and its tech landscape to the Lower 48 and the outside world through this open-source remote summer coding program organized and funded by Google. Our projects focus on healthcare, climate science, polar science, and other research fields critical to the Circumpolar North and the rest of the world.","Many Traditions, One Alaska",https://www.uaa.alaska.edu/research,https://github.com/uaanchorage/GSoC,https://github.com/uaanchorage/GSoC,https://github.com/uaanchorage/GSoC/blob/main/CONTRIBUTOR-GUIDE.md,Apache-2.0,https://summerofcode.withgoogle.com/media/org/alaska/uuu8lxevgc3jof9c.png,"Science and medicine, Artificial Intelligence","python, mysql, java, matlab, dicom","deep learning, neuroscience, radiology, heathcare, Polar Science","https://github.com/uaanchorage/GSoC/discussions, https://github.com/uaanchorage/GSoC/wiki",https://github.com/uaanchorage/GSoC/discussions,https://github.com/uaanchorage/GSoC/wiki,Webpage,Alaska.txt,4246
Prometheus-Operator,"The Prometheus Operator provides Kubernetes native deployment and management of Prometheus and related monitoring components. The purpose of this project is to simplify and automate the configuration of a Prometheus based monitoring stack for Kubernetes clusters.

The Prometheus operator includes, but is not limited to, the following features:

* Kubernetes Custom Resources: Use Kubernetes custom resources to deploy and manage Prometheus, Alertmanager, and related components.

* Simplified Deployment Configuration: Configure the fundamentals of Prometheus like versions, persistence, retention policies, and replicas from a native Kubernetes resource.

* Prometheus Target Configuration: Automatically generate monitoring target configurations based on familiar Kubernetes label queries; no need to learn a Prometheus specific configuration language.",Managing Prometheus atop Kubernetes,https://prometheus-operator.dev/,https://github.com/prometheus-operator/prometheus-operator,https://github.com/prometheus-operator/community/blob/main/mentoring/gsoc/2024/project_ideas.md,,Apache-2.0,https://summerofcode.withgoogle.com/media/org/prometheus-operator/dpytdkpyfejrot7o-360.png,Infrastructure and cloud,"prometheus, go, kubernetes, kubernetes operators","monitoring, cloud, observability, Kubernetes Operator","https://kubernetes.slack.com/archives/CFFDS2Z7F, https://twitter.com/PromOperator",https://kubernetes.slack.com/archives/CFFDS2Z7F,https://twitter.com/PromOperator,Webpage,Prometheus-Operator.txt,644
VideoLAN,The VideoLAN project is led by and composed of a team of volunteers who believe in the power of open source to rock the multimedia world. We produce multimedia software notably the famous VLC media player as well as designated libraries and codecs.,Open Source Multimedia for everyone!,https://www.videolan.org,https://code.videolan.org/videolan/,https://wiki.videolan.org/SoC_2024/,https://wiki.videolan.org/SoC_2024/,GPL-2.0,https://summerofcode.withgoogle.com/media/org/videolan/9h28hsncvrt01voz-360.png,"End user applications, Media","c, c++, qt, assembly, video","audio, streaming, video, codecs, media database","#videolan on Libera.chat, videolan@videolan.org, https://twitter.com/videolan, https://www.facebook.com/vlc.media.player","#videolan on Libera.chat, videolan@videolan.org","https://twitter.com/videolan, https://www.facebook.com/vlc.media.player",Webpage,VideoLAN.txt,3496
openSUSE Project,"The openSUSE Project is a worldwide effort that promotes the use of Linux, tools around it, and open source. The openSUSE community is made up of multiple contributing communities that collaborate as part of a global open-source network. The openSUSE community develops, builds and maintains many of the packages, tools and infrastructure for the distribution. The community works together in an open, transparent and friendly manner as part of the global Free and Open Source Software community. openSUSE creates one of the world's best Linux distributions, as well as a variety of tools, such as OBS, OpenQA, Kiwi, YaST, OSEM and Uyuni. Distributions include a rolling release (Tumbleweed), a stable annual release (Leap) and operating systems for edge, embedded, cloud and containers through MicroOS and ALP.

The project is controlled by its community and relies on the contributions of individuals, working as testers, writers, translators, usability experts, artists and ambassadors or developers. The project embraces a wide variety of technology, people with different levels of expertise, speaking different languages and having different cultural backgrounds.","Makers' choice for sysadmins, developers & users",https://get.opensuse.org/,https://github.com/openSUSE,https://101.opensuse.org/,https://github.com/openSUSE/mentoring/wiki/Contributor-Guidance-for-Google-Summer-of-Code,GPL-2.0,https://summerofcode.withgoogle.com/media/org/opensuse-project/zq11ebxj038xotbe-360.png,"Operating systems, Development tools","python, c/c++, go, ruby, reactjs javascript","AIML, operating system developer tools, containers kubernetes, Security Cryptography, systems management","https://chat.opensuse.org/, https://discord.com/invite/opensuse, https://lists.opensuse.org/archives/list/project@lists.opensuse.org/, https://lists.opensuse.org/archives/list/factory@lists.opensuse.org/, ddemaio@opensuse.org, https://twitter.com/openSUSE, https://www.facebook.com/groups/opensuseproject/","https://chat.opensuse.org/, https://discord.com/invite/opensuse, https://lists.opensuse.org/archives/list/project@lists.opensuse.org/, https://lists.opensuse.org/archives/list/factory@lists.opensuse.org/, ddemaio@opensuse.org","https://twitter.com/openSUSE, https://www.facebook.com/groups/opensuseproject/",Webpage,openSUSE Project.txt,2183
Software and Computational Systems Lab at LMU Munich,"The Software and Computational Systems Lab is a research group at LMU Munich,
one of the leading universities in Germany.
We focus on the development of new models and algorithms to efficiently analyze software systems
and emphasize on tool implementations of the theoretical concepts.
For GSoC 2024, we propose ideas involving several aspects of software analysis,
from implementing and benchmarking verification algorithms to incorporating backend logic solvers.

Here is a selection of the open-source projects developed by our group:

<ol>
<li> <a href=""https://cpachecker.sosy-lab.org"">CPAchecker</a> is an
award-winning framework for formal verification of C programs.
It is written in Java and based on a highly modular architecture
that allows one to develop and combine a wide range of different analyses. 
CPAchecker has helped to find hundreds of bugs in the Linux kernel.<li>

<li><a href=""https://gitlab.com/sosy-lab/software/cpa-daemon"">CPA-Daemon</a> is a gRPC-based microservice that enables users to run CPAchecker in a  cloud setup, with a focus on ease of use and continuous verification.</li>

<li><a href=""https://github.com/sosy-lab/java-smt"">JavaSMT</a> is a common API layer for accessing various SMT solvers
from Java programs without having to use solver-specific APIs and care about subtle details.
It supports the majority of common SMT solvers and is used by a wide range of projects.
</li>
<li><a href=""https://gitlab.com/sosy-lab/software/paralleljbdd"">PJBDD</a> is a multi-threaded
Binary Decision Diagram (BDD) library written in Java.
It supports concurrent computation, parallel operations, and automated resource management.</li>

<li><a href=""https://github.com/sosy-lab/benchexec"">BenchExec</a> is a benchmarking framework (written in Python)
that uses modern Linux features such as cgroups and namespaces
to create benchmarking containers and measure their resource usage.</li>
</ol>

For a more detailed description and some prospective GSoC topics,
please visit <a href=""https://www.sosy-lab.org/gsoc/gsoc2024.php#ideas"">our webpage</a>.
You are also welcome to suggest your own ideas!","Software Verification, SAT & SMT solving",https://www.sosy-lab.org/,https://github.com/sosy-lab/,https://www.sosy-lab.org/gsoc/gsoc2024.php#ideas,https://www.sosy-lab.org/gsoc/gsoc2024.php#contributors,Apache-2.0,https://summerofcode.withgoogle.com/media/org/software-and-computational-systems-lab-at-lmu-munich/kcrheiieoyvdm0r7-360.png,"Programming languages, Development tools","python, java","software verification, benchmarking, program analysis, formal methods, SAT & SMT solving",info@sosy-lab.org,info@sosy-lab.org,,Webpage,Software and Computational Systems Lab at LMU Munich.txt,3068
Mixxx,"Mixxx is a feature rich DJ mixing  application. It supports many MIDI and HID DJ controllers, runs on Win Linux and MacOs. It supports effects, harmonic mixing and beatmatching.

Mixxx has an unusually broad community for an open-source project, encompassing performing musicians, C++ addicts, amateur DJs, Internet radio broadcasters, and casual users.",DJ Mixing App With Powerful Features For All DJs,https://mixxx.org,https://github.com/mixxxdj/mixxx,https://github.com/mixxxdj/mixxx/wiki/GSOC-2024-Ideas,https://github.com/mixxxdj/mixxx/wiki/Gsocadvice,GPL-2.0,https://summerofcode.withgoogle.com/media/org/mixxx/ivlj1kl8jabpmfs9-360.png,End user applications,"javascript, c++, qt","music, dj, streaming","https://mixxx.zulipchat.com/, https://mixxx.org/news/",https://mixxx.zulipchat.com/,https://mixxx.org/news/,Webpage,Mixxx.txt,3453
Debian,"The Debian Project is an association of Free Software developers who
volunteer their time and effort in order to produce and maintain a completely free
operating system Debian. Since its launch, the Debian project has grown to comprise more than 1,000 members with official developer status, alongside many more volunteers and contributors. Today, Debian encompasses over 50,000 packages of free, open source applications and documentation.",The Universal Operating System,https://debian.org,https://salsa.debian.org,https://wiki.debian.org/SummerOfCode2024/Projects#Approved_Projects,https://wiki.debian.org/SummerOfCode2024,GPL-3.0,https://summerofcode.withgoogle.com/media/org/debian/mmld9soj4mti8bjn-360.png,"Operating systems, End user applications","python, java, perl, c++, rust","cloud, ai, CI/CD, Android SDK, HPC MPI Benchmarking","https://lists.debian.org/debian-outreach, outreach@debian.org, https://bits.debian.org/","https://lists.debian.org/debian-outreach, outreach@debian.org",https://bits.debian.org/,Webpage,Debian.txt,3625
